Date,Price,Open,High,Low,Vol.,Change %
2023-07-27,17339.06,"17,396.24","17,422.11","17,304.99",75.72M,-0.33%
2023-07-30,17554.56,"17,339.06","17,617.24","17,334.46",94.80M,1.24%
2023-07-31,17595.92,"17,554.56","17,630.12","17,522.99",121.84M,0.24%
2023-08-01,17514.11,"17,595.92","17,663.92","17,499.06",336.68M,-0.46%
2023-08-02,17455.6,"17,514.11","17,610.40","17,427.89",480.96M,-0.33%
2023-08-03,17451.44,"17,455.60","17,506.51","17,380.54",294.84M,-0.02%
2023-08-06,17697.49,"17,451.44","17,708.06","17,451.44",305.66M,1.41%
2023-08-07,17839.48,"17,697.49","17,865.79","17,697.49",359.64M,0.80%
2023-08-08,17748.89,"17,839.48","17,938.14","17,748.89",395.74M,-0.51%
2023-08-09,17763.63,"17,748.89","17,910.10","17,746.30",299.07M,0.08%
2023-08-10,17710.2,"17,763.63","17,813.07","17,693.52",217.75M,-0.30%
2023-08-13,17856.07,"17,710.20","17,856.75","17,710.20",209.00M,0.82%
2023-08-14,17897.5,"17,856.07","18,066.71","17,856.07",288.83M,0.23%
2023-08-15,17965.32,"17,897.50","17,978.74","17,885.44",188.31M,0.38%
2023-08-16,18062.5,"17,965.32","18,166.70","17,936.39",220.48M,0.54%
2023-08-17,17969.27,"18,062.50","18,130.45","17,956.88",162.62M,-0.52%
2023-08-20,18033.22,"17,969.27","18,101.10","17,969.27",157.45M,0.36%
2023-08-21,17920.48,"18,033.22","18,123.52","17,899.69",187.22M,-0.63%
2023-08-22,18216.63,"17,920.48","18,256.74","17,920.48",169.65M,1.65%
2023-08-23,18133.42,"18,216.63","18,322.06","18,130.61",226.10M,-0.46%
2023-08-24,18207.82,"18,133.42","18,237.14","18,133.42",193.82M,0.41%
2023-08-27,18516.59,"18,207.82","18,516.59","18,207.82",134.13M,1.70%
2023-08-28,18584.84,"18,516.59","18,757.12","18,516.59",272.19M,0.37%
2023-08-29,18629.34,"18,584.84","18,709.86","18,584.84",220.66M,0.24%
2023-08-30,18818.15,"18,629.34","18,832.19","18,629.34",150.63M,1.01%
2023-08-31,18873.82,"18,818.15","18,884.84","18,726.46",131.97M,0.30%
2023-09-03,18726.01,"18,873.82","18,955.40","18,726.01",110.03M,-0.78%
2023-09-04,18910.99,"18,726.01","18,945.66","18,726.01",147.93M,0.99%
2023-09-05,19044.39,"18,910.99","19,146.68","18,910.99",173.82M,0.71%
2023-09-06,19224.52,"19,044.39","19,287.49","19,044.39",186.24M,0.95%
2023-09-07,19375.68,"19,224.52","19,471.40","19,224.48",126.02M,0.79%
2023-09-10,19577.85,"19,375.68","19,676.23","19,375.64",198.24M,1.04%
2023-09-11,19278.72,"19,577.85","19,601.83","19,238.48",199.13M,-1.53%
2023-09-12,19144.09,"19,278.72","19,286.18","19,112.04",128.77M,-0.70%
2023-09-13,19361.7,"19,144.09","19,408.92","19,144.09",104.04M,1.14%
2023-09-14,19540.33,"19,361.70","19,642.41","19,361.70",143.07M,0.92%
2023-09-17,19668.82,"19,540.33","19,772.59","19,540.33",238.38M,0.66%
2023-09-18,19751.78,"19,668.82","19,762.40","19,586.73",190.18M,0.42%
2023-09-19,19954.3,"19,751.78","20,049.38","19,712.25",190.78M,1.03%
2023-09-20,19797.23,"19,954.30","20,264.21","19,715.05",210.90M,-0.79%
