Date,Price,Open,High,Low,Vol.,Change %
2009-05-05,5256.98,"5,205.02","5,268.95","5,205.02",91.17M,1.92%
2009-05-06,5332.86,"5,273.30","5,332.96","5,273.17",107.09M,1.44%
2009-05-07,5507.43,"5,400.49","5,527.88","5,400.49",119.94M,3.27%
2009-05-10,5745.33,"5,568.62","5,745.33","5,568.62",106.62M,4.32%
2009-05-11,5774.81,"5,775.75","5,780.04","5,657.73",137.79M,0.51%
2009-05-12,5929.94,"5,728.24","5,930.44","5,723.12",105.94M,2.69%
2009-05-13,5868.65,"5,969.89","6,042.52","5,868.65",124.34M,-1.03%
2009-05-14,5628.53,"5,758.34","5,758.34","5,628.53",88.35M,-4.09%
2009-05-17,5640.28,"5,615.34","5,680.27","5,598.19",71.11M,0.21%
2009-05-18,5762.55,"5,667.04","5,764.65","5,667.04",91.53M,2.17%
2009-05-19,5979.99,"5,879.97","5,983.15","5,879.97",117.66M,3.77%
2009-05-20,5937.11,"5,980.84","5,999.21","5,937.11",77.22M,-0.72%
2009-05-21,5699.52,"5,780.78","5,833.12","5,699.39",130.63M,-4.00%
2009-05-24,5767.81,"5,725.82","5,779.95","5,725.82",56.45M,1.20%
2009-05-25,5789.65,"5,785.10","5,822.38","5,778.67",58.07M,0.38%
2009-05-26,5871.08,"5,801.31","5,876.22","5,801.31",66.50M,1.41%
2009-05-27,5869.37,"5,948.33","5,954.58","5,869.37",80.68M,-0.03%
2009-05-28,5665.32,"5,804.13","5,804.13","5,664.46",59.56M,-3.48%
2009-05-31,5926.44,"5,681.76","5,926.44","5,681.76",74.68M,4.61%
2009-06-01,6088.65,"5,999.38","6,088.65","5,998.29",119.59M,2.74%
2009-06-02,6255.07,"6,241.13","6,305.31","6,240.59",180.78M,2.73%
2009-06-03,6174.25,"6,202.16","6,222.69","6,159.58",129.10M,-1.29%
2009-06-04,6240.89,"6,192.98","6,252.41","6,192.66",121.08M,1.08%
2009-06-07,6218.78,"6,255.30","6,306.84","6,218.78",78.06M,-0.35%
2009-06-08,6161.2,"6,195.93","6,206.55","6,161.20",80.75M,-0.93%
2009-06-09,6076.45,"6,147.94","6,200.82","6,076.25",75.00M,-1.38%
2009-06-10,6210.39,"6,078.55","6,210.39","6,078.26",124.45M,2.20%
2009-06-11,6193.43,"6,251.86","6,306.19","6,193.43",106.43M,-0.27%
2009-06-14,6220.16,"6,210.31","6,220.34","6,184.71",89.93M,0.43%
2009-06-15,6308.51,"6,243.10","6,308.51","6,196.61",102.53M,1.42%
2009-06-16,6379.98,"6,311.64","6,381.09","6,286.95",127.15M,1.13%
2009-06-17,6306.84,"6,374.49","6,374.83","6,306.84",107.33M,-1.15%
2009-06-18,6163.26,"6,262.13","6,270.84","6,162.93",105.87M,-2.28%
2009-06-21,6069.62,"6,138.28","6,167.92","6,069.62",65.34M,-1.52%
2009-06-22,5864.01,"6,041.40","6,041.40","5,864.01",76.51M,-3.39%
2009-06-23,5620.18,"5,803.85","5,803.85","5,619.29",78.18M,-4.16%
2009-06-24,5586.44,"5,616.60","5,672.68","5,586.44",71.92M,-0.60%
